mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20.00238757133484,0.12982601179460698,0.5525025844573974,0.013799449474226707,gini,4,auto,100,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 100}",0.9969720192145941,0.9977570512700698,0.9966916506233529,0.9967664155810172,0.9968971962616823,0.9970168665901433,0.00038280458932284784,15,0.9972290108082597,0.9972944304519096,0.9972710662934632,0.996962659401971,0.996729033102185,0.9970972400115578,0.00021915814267202256
40.27698955535889,0.26184651146298155,1.0474489212036133,0.011509886697266061,gini,4,auto,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 200}",0.9970467841722584,0.9977196687912375,0.9971963140875871,0.9973458440029158,0.9976261682242991,0.9973869558556595,0.0002536421483778973,11,0.997317794610356,0.997387887085695,0.9975000350462376,0.9972290108082597,0.9974486458197043,0.9973766746740506,9.570248123086482e-05
20.298148965835573,0.12432914544666337,0.5572502136230468,0.013015370190731502,gini,4,sqrt,100,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}",0.9969720192145941,0.9977570512700698,0.9966916506233529,0.9967664155810172,0.9968971962616823,0.9970168665901433,0.00038280458932284784,15,0.9972290108082597,0.9972944304519096,0.9972710662934632,0.996962659401971,0.996729033102185,0.9970972400115578,0.00021915814267202256
40.133037900924684,0.13824078271588916,1.045667839050293,0.028651141575162412,gini,4,sqrt,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",0.9970467841722584,0.9977196687912375,0.9971963140875871,0.9973458440029158,0.9976261682242991,0.9973869558556595,0.0002536421483778973,11,0.997317794610356,0.997387887085695,0.9975000350462376,0.9972290108082597,0.9974486458197043,0.9973766746740506,9.570248123086482e-05
23.457282161712648,0.18650626784889604,0.5849112033843994,0.03348455185512113,gini,5,auto,100,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 100}",0.9994953365357657,0.9994953365357657,0.9994766452963496,0.9991588942262761,0.9992710280373832,0.9993794481263081,0.00013907298462253968,5,0.99935514922688,0.9993458035635014,0.9995140255043153,0.9993738405536371,0.999350479430291,0.9993878596557251,6.379706086601859e-05
45.4277425289154,0.1048092563153979,1.1123920917510985,0.011661059246205686,gini,5,auto,200,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 200}",0.9994953365357657,0.9994953365357657,0.999364497859853,0.9991588942262761,0.9992523364485981,0.9993532803212517,0.0001330123217469221,7,0.9993458035635014,0.9993458035635014,0.9993785133853264,0.9993691677219478,0.999350479430291,0.9993579535329136,1.3413212071504058e-05
22.99998621940613,0.2976152421440434,0.5625408172607422,0.014797577816999585,gini,5,sqrt,100,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}",0.9994953365357657,0.9994953365357657,0.9994766452963496,0.9991588942262761,0.9992710280373832,0.9993794481263081,0.00013907298462253968,5,0.99935514922688,0.9993458035635014,0.9995140255043153,0.9993738405536371,0.999350479430291,0.9993878596557251,6.379706086601859e-05
44.56366720199585,0.19955761889726978,1.1178500652313232,0.017992004658319627,gini,5,sqrt,200,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200}",0.9994953365357657,0.9994953365357657,0.999364497859853,0.9991588942262761,0.9992523364485981,0.9993532803212517,0.0001330123217469221,7,0.9993458035635014,0.9993458035635014,0.9993785133853264,0.9993691677219478,0.999350479430291,0.9993579535329136,1.3413212071504058e-05
22.17960023880005,0.2077721084559804,0.544096040725708,0.0455677945757171,entropy,4,auto,100,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 100}",0.9970654754116746,0.9975514476364927,0.9972897702846676,0.997813124988318,0.9974953271028038,0.9974430290847913,0.00025199034852453985,9,0.997200973818124,0.997387887085695,0.9974906893828591,0.99806544768064,0.9973505168127699,0.9974991029560176,0.0002980419198565582
42.28137125968933,0.1362443006040209,1.0698155403137206,0.021850741065425512,entropy,4,auto,200,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 200}",0.9968224892992654,0.9976635950729893,0.9968598717780977,0.997177622848171,0.9975514018691589,0.9972149961735365,0.0003452481752803897,13,0.9971355541744742,0.9973084489469773,0.9971682639962991,0.9972804119568417,0.9974065905310181,0.9972598539211223,9.813753960652171e-05
21.53896427154541,0.4970769253923459,0.5196460247039795,0.013412124014453323,entropy,4,sqrt,100,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}",0.9970654754116746,0.9975514476364927,0.9972897702846676,0.997813124988318,0.9974953271028038,0.9974430290847913,0.00025199034852453985,9,0.997200973818124,0.997387887085695,0.9974906893828591,0.99806544768064,0.9973505168127699,0.9974991029560176,0.0002980419198565582
42.26166787147522,0.10046331505649804,1.0213681221008302,0.033812654702905114,entropy,4,sqrt,200,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",0.9968224892992654,0.9976635950729893,0.9968598717780977,0.997177622848171,0.9975514018691589,0.9972149961735365,0.0003452481752803897,13,0.9971355541744742,0.9973084489469773,0.9971682639962991,0.9972804119568417,0.9974065905310181,0.9972598539211223,9.813753960652171e-05
24.266774892807007,0.5386189779746742,0.5359180927276611,0.013851906053045149,entropy,5,auto,100,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 100}",0.9995887927328461,0.9997009401693426,0.9995701014934301,0.9995701014934301,0.9996635514018691,0.9996186974581835,5.365289923405908e-05,1,0.9995841179796545,0.9995514081578296,0.9996074821381009,0.9995981364747223,0.999775705127007,0.9996233699754627,7.850397913946972e-05
47.87040009498596,0.3413021576571445,1.0563179492950439,0.028296515028280633,entropy,5,auto,200,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 200}",0.9995701014934301,0.9997009401693426,0.999551410254014,0.999551410254014,0.9994953271028038,0.9995738378547209,6.832114093226794e-05,3,0.999490661345869,0.9995514081578296,0.999593463643033,0.999593463643033,0.9996028111624082,0.9995663615904344,4.183717481171238e-05
23.83997106552124,0.41695142811844915,0.5293159484863281,0.03326234294589143,entropy,5,sqrt,100,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}",0.9995887927328461,0.9997009401693426,0.9995701014934301,0.9995701014934301,0.9996635514018691,0.9996186974581835,5.365289923405908e-05,1,0.9995841179796545,0.9995514081578296,0.9996074821381009,0.9995981364747223,0.999775705127007,0.9996233699754627,7.850397913946972e-05
35.78017735481262,3.6342172675394138,0.6762807369232178,0.07333821711610214,entropy,5,sqrt,200,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200}",0.9995701014934301,0.9997009401693426,0.999551410254014,0.999551410254014,0.9994953271028038,0.9995738378547209,6.832114093226794e-05,3,0.999490661345869,0.9995514081578296,0.999593463643033,0.999593463643033,0.9996028111624082,0.9995663615904344,4.183717481171238e-05
